SentenceId	Phrase	Sentiment Value
1	A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .	1
2	This quiet , introspective and entertaining independent is worth seeking .	4
3	Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one .	1
4	A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera .	3
5	Aggressive self-glorification and a manipulative whitewash .	1
6	A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .	4
7	Narratively , Trouble Every Day is a plodding mess .	1
8	The Importance of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations	3
9	But it does n't leave you with much .	1
10	You could hate it for the same reason .	1
11	There 's little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .	1
12	Kung Pow is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that .	1
13	The performances are an absolute joy .	4
14	Fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .	3
15	I still like Moonlight Mile , better judgment be damned .	3
16	A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .	3
17	a bilingual charmer , just like the woman who inspired it	3
18	Like a less dizzily gorgeous companion to Mr. Wong 's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting .	2
19	As inept as big-screen remakes of The Avengers and The Wild Wild West .	1
20	It 's everything you 'd expect -- but nothing more .	2
21	Best indie of the year , so far .	4
22	Hatfield and Hicks make the oddest of couples , and in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications .	3
23	It 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend .	1
24	That the Chuck Norris `` grenade gag '' occurs about 7 times during Windtalkers is a good indication of how serious-minded the film is .	2
25	The plot is romantic comedy boilerplate from start to finish .	2
26	It arrives with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications .	2
27	A film that clearly means to preach exclusively to the converted .	2
28	While The Importance of Being Earnest offers opportunities for occasional smiles and chuckles , it does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .	1
29	The latest vapid actor 's exercise to appropriate the structure of Arthur Schnitzler 's Reigen .	1
30	More vaudeville show than well-constructed narrative , but on those terms it 's inoffensive and actually rather sweet .	2
31	Nothing more than a run-of-the-mill action flick .	2
32	Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire .	0
33	Ice Age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .	2
34	There 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash .	2
35	Cattaneo should have followed the runaway success of his first film , The Full Monty , with something different .	2
36	They 're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid .	1
37	It almost feels as if the movie is more interested in entertaining itself than in amusing us .	1
38	The movie 's progression into rambling incoherence gives new meaning to the phrase ` fatal script error . '	0
39	Do n't judge this one too soon - it 's a dark , gritty story but it takes off in totally unexpected directions and keeps on going .	3
40	So could young romantics out on a date .	3
41	Tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality .	0
42	Vincent Gallo is right at home in this French shocker playing his usual bad boy weirdo role .	3
43	If a horror movie 's primary goal is to frighten and disturb , then They works spectacularly well ... A shiver-inducing , nerve-rattling ride .	4
44	This 100-minute movie only has about 25 minutes of decent material .	1
45	Fortunately , you still have that option .	2
46	Less the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling -LRB- though no less horrifying for it -RRB- .	3
47	As tricky and satisfying as any of David Mamet 's airless cinematic shell games .	3
48	I 'm sure the filmmaker would disagree , but , honestly , I do n't see the point .	1
49	Jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers .	4
8545	An intermittently pleasing but mostly routine effort .	1
8546	Kidman is really the only thing that 's worth watching in Birthday Girl , a film by the stage-trained Jez Butterworth -LRB- Mojo -RRB- that serves as yet another example of the sad decline of British comedies in the post-Full Monty world .	0
8547	Once you get into its rhythm ... the movie becomes a heady experience .	2
8548	I kept wishing I was watching a documentary about the wartime Navajos and what they accomplished instead of all this specious Hollywood hoo-ha .	0
8549	Kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth .	3
8550	All ends well , sort of , but the frenzied comic moments never click .	2
8551	It 's a hoot and a half , and a great way for the American people to see what a candidate is like when he 's not giving the same 15-cent stump speech .	3
8552	The weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .	4
8553	The film contains no good jokes , no good scenes , barely a moment when Carvey 's Saturday Night Live-honed mimicry rises above the level of embarrassment .	0
8554	An offbeat , sometimes gross and surprisingly appealing animated film about the true meaning of the holidays .	3
8555	It suggests the wide-ranging effects of media manipulation , from the kind of reporting that is done by the supposedly liberal media ... to the intimate and ultimately tragic heartache of maverick individuals like Hatfield and Hicks .	2
8556	As Tweedy talks about canning his stockbroker and repairing his pool , you yearn for a few airborne TV sets or nude groupies on the nod to liven things up .	1
8557	For all its failed connections , Divine Secrets of the Ya-Ya Sisterhood is nurturing , in a gauzy , dithering way .	1
8558	It would be hard to think of a recent movie that has worked this hard to achieve this little fun .	0
8559	The story and structure are well-honed .	2
8560	Chilling but uncommercial look into the mind of Jeffrey Dahmer , serial killer .	2
8561	... the movie is just a plain old monster .	1
8562	This film 's relationship to actual tension is the same as what Christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .	1
8563	A depressing confirmation of everything those of us who do n't object to the description `` unelected '' have suspected all along : George W. Bush is an incurious , uncharismatic , overgrown frat boy with a mean streak a mile wide .	2
8564	You do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .	3
8565	However , it lacks grandeur and that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts .	1
8566	Although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs .	2
8567	An occasionally funny , but overall limp , fish-out-of-water story .	1
8568	a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes .	0
8569	A fitfully amusing romp that , if nothing else , will appeal to fans of Malcolm in the Middle and its pubescent star , Frankie Muniz .	2
8570	If I Spy were funny -LRB- enough -RRB- or exciting -LRB- enough -RRB- then it would be fairly simple to forgive the financial extortion it 's trying to reap from the moviegoing public .	0
8571	Borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .	1
8572	Despite its title , Amy 's Orgasm is not a porno , though it is as tedious as one .	1
8573	That dogged good will of the parents and ` vain ' Jia 's defoliation of ego , make the film touching despite some doldrums .	2
8574	Imagine a really bad community theater production of West Side Story without the songs .	0
8575	It 's an old story , but a lively script , sharp acting and partially animated interludes make Just a Kiss seem minty fresh .	3
8576	The most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take .	1
8577	Prancing his way through the tailor-made part of a male hooker approaching the end of his vitality , Jagger obviously relishes every self-mocking moment .	3
8578	A distant , even sterile , yet compulsively watchable look at the sordid life of Hogan 's Heroes star Bob Crane .	2
8579	Creepy but ultimately unsatisfying thriller .	1
8580	I just did n't care as much for the story .	1
8581	Extreme Oops - oops , ops , no matter how you spell it , it 's still a mistake to go see it .	0
8582	What Jackson has accomplished here is amazing on a technical level .	4
8583	If you 've ever entertained the notion of doing what the title of this film implies , what Sex With Strangers actually shows may put you off the idea forever .	2
8584	A pleasant romantic comedy .	3
8585	A movie that tries to fuse the two ` woods ' but winds up a Bolly-Holly masala mess .	1
8586	Though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance .	3
8587	Though only 60 minutes long , the film is packed with information and impressions .	3
8589	There 's a disturbing ` Great White Hope ' undertone to The Other Side of Heaven that subtly undermines its message of Christian love and compassion .	1
8590	Watching Scarlet Diva , one is poised for titillation , raw insight or both .	2
8591	Prurient playthings aside , there 's little to love about this English trifle .	0
8592	If you believe any of this , I can make you a real deal on leftover Enron stock that will double in value a week from Friday .	0
8593	It 's basically an overlong episode of Tales from the Crypt .	1
8594	And when you 're talking about a slapstick comedy , that 's a pretty big problem .	1
8595	For close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one .	0
8596	A wildly funny prison caper .	4
8597	Nine Queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head .	4
8598	The movie exists for its soccer action and its fine acting .	3
8599	There 's not enough here to justify the almost two hours .	1
8600	Kinnear gives a tremendous performance .	4
8601	This is one for the ages .	4
8602	The special effects and many scenes of weightlessness look as good or better than in the original , while the Oscar-winning sound and James Horner 's rousing score make good use of the hefty audio system .	4
8603	George Clooney proves he 's quite a talented director and Sam Rockwell shows us he 's a world-class actor with Confessions of a Dangerous Mind .	3
8604	Over-the-top and a bit ostentatious , this is a movie that 's got oodles of style and substance .	3
8605	Instead , he shows them the respect they are due .	2
8606	Although it bangs a very cliched drum at times , this crowd-pleaser 's fresh dialogue , energetic music , and good-natured spunk are often infectious .	3
8608	Michael Gerbosi 's script is economically packed with telling scenes .	2
8609	There is not a character in the movie with a shred of plausibility , not an event that is believable , not a confrontation that is not staged , not a moment that is not false .	0
8610	Like most sequels , it takes what worked last time , repeats it and adds more characters , more stunts , more stuff in attempt to camouflage its sameness .	1
8611	The film 's few ideas are stretched to the point of evaporation ; the whole central section is one big chase that seems to have no goal and no urgency .	0
8612	It 's like a poem .	2
8613	Enjoy it for what it is ; you can hate yourself later .	1
8614	I 'll bet the video game is a lot more fun than the film .	1
8615	Do n't plan on the perfect ending , but Sweet Home Alabama hits the mark with critics who escaped from a small town life .	3
8616	It 's the best film of the year so far , the benchmark against which all other Best Picture contenders should be measured .	4
8617	Generally , Clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes .	3
8618	It feels like a community theater production of a great Broadway play : Even at its best , it will never hold a candle to the original .	1
8619	Effectively feeds our senses with the chilling sights and sounds from within the camp to create a completely numbing experience .	2
8620	Unfortunately , the picture failed to capture me .	1
8621	The actors are appealing , but Elysian Fields is idiotic and absurdly sentimental .	1
8622	Nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting .	0
8623	Every bit as bogus as most Disney live action family movies are -- no real plot , no real conflict , no real point .	0
8624	It ca n't decide if it wants to be a mystery\/thriller , a romance or a comedy .	1
8625	A one-trick pony whose few T&A bits still ca n't save itself from being unoriginal , unfunny and unrecommendable .	0
8626	This examination of aquatic life off the shores of the Baja California peninsula of Mexico offers an engrossing way to demonstrate the virtues of the IMAX format .	2
8627	Kwan makes the mix-and - match metaphors intriguing , while lulling us into torpor with his cultivated allergy to action .	1
8628	A woozy , roisterous , exhausting mess , and the off-beat casting of its two leads turns out to be as ill-starred as you might expect .	1
8629	A morality tale whose thought-provoking potential is hampered by a made-for-TV look , rigid performances and an asinine ` twist ' that brazenly rips off The Sixth Sense .	1
8630	Scotland , PA. blurs the line between black comedy and black hole .	1
8631	What 's surprising about Full Frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you .	2
8632	-LRB- A -RRB- rare , beautiful film .	4
8633	The film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply sublime .	4
8634	And if The Hours wins ` Best Picture ' I just might .	2
8635	And in this regard , On Guard delivers .	3
8636	It wo n't bust your gut -- and it 's not intended to -- it 's merely a blandly cinematic surgical examination of what makes a joke a joke .	1
8637	Remarkably accessible and affecting .	3
8638	If this disposable tissue has one wild card , it 's John Turturro , who 's simply fab as a Spanish butler with a foot fetish .	1
8639	If this movie belonged to a sorority , it would be called Beta Alpha Delta .	1
8640	To enjoy this movie 's sharp dialogue and delightful performance by Jolie and Burns , you have to gloss over the no sense ending .	2
8641	An intelligent fiction about learning through cultural clash .	3
8642	Plays like a volatile and overlong W magazine fashion spread .	1
8643	It is ridiculous , of course ... but it is also refreshing , disarming , and just outright enjoyable despite its ridiculousness .	3
8644	Brilliant ! '	4
8645	Behan himself knew how to spin a tale and one ca n't help but think he 'd appreciate this attempt to turn his life into art .	3
8646	The sort of movie that gives tastelessness a bad rap .	1
8647	There are moments in this account of the life of artist Frida Kahlo that are among cinema 's finest this year .	3
8648	The inhospitability of the land emphasizes the spare precision of the narratives and helps to give them an atavistic power , as if they were tales that had been handed down since the beginning of time .	4
8649	Add yet another hat to a talented head , Clooney 's a good director .	3
8650	Too bad , but thanks to some lovely comedic moments and several fine performances , it 's not a total loss .	1
8651	A Generation X artifact , capturing a brief era of insanity in the sports arena that surely can not last .	1
8652	As ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting .	0
8653	As with too many studio pics , plot mechanics get in the way of what should be the lighter-than-air adventure .	1
8654	An engaging overview of Johnson 's eccentric career .	3
8655	The second coming of Harry Potter is a film far superior to its predecessor .	3
8656	It 's hard to tell with all the crashing and banging where the salesmanship ends and the movie begins .	2
8657	The result is solemn and horrifying , yet strangely detached .	2
8658	The minor figures surrounding -LRB- Bobby -RRB- ... form a gritty urban mosaic .	2
8659	-LRB- Drumline -RRB- is entertaining for what it does , and admirable for what it does n't do .	3
8660	LaPaglia 's ability to convey grief and hope works with Weaver 's sensitive reactions to make this a two-actor master class .	4
8661	It 's a humble effort , but spiced with wry humor and genuine pathos , especially between Morgan and Redgrave .	3
8662	They takes a long time to get to its gasp-inducing ending .	2
8663	A mostly tired retread of several other mob tales .	1
8664	Uncertain in tone ... a garbled exercise in sexual politics , a junior varsity Short Cuts by way of Very Bad Things .	2
8665	An incredibly low-rent Danish film , it brings a group of people together in a sweet and charming way , if a little convenient	2
8666	Cuts right through the B.S. giving a big middle-fingered `` shut up '' to those who talk up what is nothing more than two guys beating the hell outta one another .	1
8667	Even legends like Alfred Hitchcock and John Huston occasionally directed trifles ... so it 's no surprise to see a world-class filmmaker like Zhang Yimou behind the camera for a yarn that 's ultimately rather inconsequential .	1
