SentenceId	Phrase	Sentiment Value
8668	Leave it to Rohmer , now 82 , to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the city as it was more than two centuries ago .	4
8669	A journey through memory , a celebration of living , and a sobering rumination on fatality , classism , and ignorance .	4
8670	Huston nails both the glad-handing and the choking sense of hollow despair .	3
8671	As Hugh Grant says repeatedly throughout the movie , ` Lovely !	3
8672	Well-written , nicely acted and beautifully shot and scored , the film works on several levels , openly questioning social mores while ensnaring the audience with its emotional pull .	4
8673	The vitality of the actors keeps the intensity of the film high , even as the strafings blend together .	2
8674	We are left with a superficial snapshot that , however engaging , is insufficiently enlightening and inviting .	1
8675	A delightful coming-of-age story .	3
8676	This film was made to get laughs from the slowest person in the audience -- just pure slapstick with lots of inane , inoffensive screaming and exaggerated facial expressions .	0
8677	Bullock 's complete lack of focus and ability quickly derails the film	0
8678	The Man From Elysian Fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves .	1
8679	Suffers from rambling , repetitive dialogue and the visual drabness endemic to digital video .	0
8680	It 's as flat as an open can of pop left sitting in the sun .	0
8681	You have to pay attention to follow all the stories , but they 're each interesting .	2
8682	Much monkeyfun for all .	2
8683	Manages to be sweet and wickedly satisfying at the same time .	3
8684	Melanie eventually slugs the Yankee .	2
8685	The film is faithful to what one presumes are the book 's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are .	3
8686	Even by dumb action-movie standards , Ballistic : Ecks vs. Sever is a dumb action movie .	1
8687	The continued good chemistry between Carmen and Juni is what keeps this slightly disappointing sequel going , with enough amusing banter -- blessedly curse-free -- to keep both kids and parents entertained .	2
8688	Hey Arnold !	2
8689	Men in Black II has sequel-itis something fierce .	0
8690	Watching the film is like reading a Times Portrait of Grief that keeps shifting focus to the journalist who wrote it .	2
8691	This is an hour and a half of daydreaming .	2
8692	It seems just a long , convoluted ploy to get men into drag -- period drag , no less .	1
8693	We get some truly unique character studies and a cross-section of Americana that Hollywood could n't possibly fictionalize and be believed .	2
8694	It is far from the worst , thanks to the topical issues it raises , the performances of Stewart and Hardy , and that essential feature -- a decent full-on space battle .	2
8695	Boring we did n't .	1
8696	Glib , satirical documentary that fudges facts , makes facile points and engages in the cinematic equivalent of tabloid journalism .	1
8697	`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . ''	1
8698	Formula 51 is so trite that even Yu 's high-energy action stylings ca n't break through the stupor .	0
8699	A very funny movie .	3
8700	It 's a great deal of sizzle and very little steak .	1
8701	Or doing last year 's taxes with your ex-wife .	0
8702	The cumulative effect of the relentless horror on parade numbs the movie 's power as a work of drama .	1
8703	Suffocated by its fussy script and uptight characters , this musty adaptation is all the more annoying since it 's been packaged and sold back to us by Hollywood .	1
8704	The passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the Mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air .	4
8705	It 's the kind of movie that ends up festooning U.S. art house screens for no reason other than the fact that it 's in French -LRB- well , mostly -RRB- with English subtitles and is magically ` significant ' because of that .	1
8706	The WWII drama is well plotted , visually striking and filled with enjoyably complex characters who are never what they first appear .	4
8707	Anchored by Friel and Williams 's exceptional performances , the film 's power lies in its complexity .	3
8708	Divertingly ridiculous , headbangingly noisy .	2
8709	Though Avary has done his best to make something out of Ellis ' nothing novel , in the end , his Rules is barely worth following .	0
8710	Although trying to balance self-referential humor and a normal ol' slasher plot seemed like a decent endeavor , the result does n't fully satisfy either the die-hard Jason fans or those who can take a good joke .	1
8711	It confirms Fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight .	3
8712	The film is painfully authentic , and the performances of the young players are utterly convincing .	3
8713	You can feel the heat that ignites this gripping tale , and the humor and humanity that root it in feeling .	3
8714	With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .	4
8715	Moore 's performance impresses almost as much as her work with Haynes in 1995 's Safe .	2
8716	Going to the website may be just as fun -LRB- and scary -RRB- as going to the film .	2
8717	A movie that hovers somewhere between an acute character study and a trite power struggle .	2
8718	Greene delivers a typically solid performance in a role that is a bit of a departure from the noble characters he has played in the past , and he is matched by Schweig , who carries the film on his broad , handsome shoulders .	3
8719	The best way to hope for any chance of enjoying this film is by lowering your expectations .	1
8720	It 's disappointing when filmmakers throw a few big-name actors and cameos at a hokey script .	0
8721	This cheery , down-to-earth film is warm with the cozy feeling of relaxing around old friends .	3
8722	Despite the 2-D animation , The Wild Thornberrys Movie makes for a surprisingly cinematic experience .	3
8723	It 's hard to like a film about a guy who is utterly unlikeable , and Shiner , starring Michael Caine as an aging British boxing promoter desperate for a taste of fame and fortune , is certainly that .	1
8724	-LRB- Schweiger is -RRB- talented and terribly charismatic , qualities essential to both movie stars and social anarchists .	3
8725	A historical epic with the courage of its convictions about both scope and detail .	3
8726	There are just enough twists in the tale to make it far more satisfying than almost any horror film in recent memory .	3
8727	Overly stylized with lots of flash black - & - white freeze frames reminiscent of a pseudo-hip luxury car commercial , -LRB- it 's -RRB- at its worst when it 's actually inside the ring .	1
8728	Due to some script weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality .	0
8729	Everywhere the camera looks there is something worth seeing .	3
8730	This warm and gentle romantic comedy has enough interesting characters to fill several movies , and its ample charms should win over the most hard-hearted cynics .	4
8731	A very average science fiction film .	1
8732	The cartoon is about as true to the spirit of the Festival of Lights as Mr. Deeds was to that of Frank Capra .	1
8733	Director Uwe Boll and the actors provide scant reason to care in this crude '70s throwback .	0
8734	Perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie .	1
8735	We can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer .	2
8736	A beautiful and haunting examination of the stories we tell ourselves to make sense of the mundane horrors of the world .	3
8737	An intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .	2
8738	This is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .	3
8739	Haneke keeps us at arm 's length .	2
8740	The film 's essentially over by the meet-cute .	1
8741	Movie fans , get ready to take off ... the other direction .	0
8742	At the very least , if you do n't know anything about Derrida when you walk into the theater , you wo n't know much more when you leave .	1
8743	Bullock does a good job here of working against her natural likability .	2
8744	it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so	2
8745	Director Ferzan Ozpetek creates an interesting dynamic with the members of this group , who live in the same apartment building .	3
8746	It 's not thirsty , consuming passion which drives this movie .	2
8747	It gets onto the screen just about as much of the novella as one could reasonably expect , and is engrossing and moving in its own right .	3
8748	Sluggishly directed by episodic TV veteran Joe Zwick , it 's a sitcom without the snap-crackle .	1
8749	Despite a story predictable enough to make The Sound of Music play like a nail-biting thriller , its heart is so much in the right place it is difficult to get really peeved at it .	2
8750	It 's one of the most honest films ever made about Hollywood .	3
8751	If you pitch your expectations at an all time low , you could do worse than this oddly cheerful -- but not particularly funny -- body-switching farce .	1
8752	While the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor .	2
8753	In the process , they demonstrate that there 's still a lot of life in Hong Kong cinema .	2
8754	At a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history .	3
8755	... a weak , manipulative , pencil-thin story that is miraculously able to entertain anyway .	2
8756	This time Mr. Burns is trying something in the Martin Scorsese street-realist mode , but his self-regarding sentimentality trips him up again .	2
8757	For a good chunk of its running time , Trapped is an effective and claustrophobic thriller .	3
8758	Life is a crock -- or something like it .	1
8759	You 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear .	4
8760	An atonal estrogen opera that demonizes feminism while gifting the most sympathetic male of the piece with a nice vomit bath at his wedding .	0
8761	For me , this opera is n't a favorite , so it 's a long time before the fat lady sings .	1
8762	Thrilling , provocative and darkly funny , this timely sci-fi mystery works on so many different levels that it not only invites , it demands repeated viewings .	4
8763	Paid In Full is so stale , in fact , that its most vibrant scene is one that uses clips from Brian De Palma 's Scarface .	0
8764	Better at putting you to sleep than a sound machine .	0
8765	But what saves lives on the freeway does not necessarily make for persuasive viewing .	2
8766	Home Alone goes Hollywood , a funny premise until the kids start pulling off stunts not even Steven Spielberg would know how to do .	1
8767	My reaction in a word : disappointment .	0
8768	The movie 's eventual success should be credited to Dennis Quaid , in fighting trim shape as an athlete as well as an actor	2
8769	The movie sticks much closer to Hornby 's drop-dead confessional tone than the film version of High Fidelity did .	2
8770	The film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle .	1
8771	De Niro and McDormand give solid performances , but their screen time is sabotaged by the story 's inability to create interest .	2
8772	... the last time I saw a theater full of people constantly checking their watches was during my SATs .	0
8773	A quietly reflective and melancholy New Zealand film about an eventful summer in a 13-year-old girl 's life .	3
8774	A long-winded and stagy session of romantic contrivances that never really gels like the shrewd feminist fairy tale it could have been .	1
8775	Care deftly captures the wonder and menace of growing up , but he never really embraces the joy of Fuhrman 's destructive escapism or the grace-in-rebellion found by his characters .	2
8776	At times , however , Dogtown and Z-Boys lapses into an insider 's lingo and mindset that the uninitiated may find hard to follow , or care about .	1
8777	What the director ca n't do is make either of Val Kilmer 's two personas interesting or worth caring about .	0
8778	Instead , we just get messy anger , a movie as personal therapy .	1
8779	Like a marathon runner trying to finish a race , you need a constant influx of liquid just to get through it .	0
8780	Director Rob Marshall went out gunning to make a great one .	3
8781	Whether -LRB- Binoche and Magimel -RRB- are being charming or angst-ridden , they easily fill their scenes and , fine judges both , never overcook the hysteria .	3
8782	This is cool , slick stuff , ready to quench the thirst of an audience that misses the summer blockbusters .	3
8783	A comic gem with some serious sparkles .	3
8784	What 's next ?	2
8785	Makes an aborbing if arguable case for the man 's greatness .	2
8786	Notorious C.H.O. has oodles of vulgar highlights .	3
8787	Largely a for-fans artifact .	1
8788	The film is a travesty of the genre and even as spoof takes itself too seriously .	0
8789	Morrissette 's script and direction show a fair amount of intelligence and wit -- but it does n't signify a whole lot either .	2
8790	Superior genre storytelling , which gets under our skin simply by crossing the nuclear line .	4
8791	Cry havoc and let slip the dogs of cheese , indeed .	2
8792	Forgettable horror -- more gory than psychological -- with a highly satisfying quotient of Friday-night excitement and Milla power .	2
8793	Windtalkers celebrates the human spirit and packs an emotional wallop .	3
8794	A giggle a minute .	3
8795	Miller is playing so free with emotions , and the fact that children are hostages to fortune , that he makes the audience hostage to his swaggering affectation of seriousness .	3
8796	There are slow and repetitive parts , but it has just enough spice to keep it interesting .	2
8797	It 's a bad thing when a movie has about as much substance as its end credits blooper reel .	0
8798	A candid and often fascinating documentary about a Pentecostal church in Dallas that assembles an elaborate haunted house each year to scare teenagers into attending services .	2
8799	Too bad the former Murphy Brown does n't pop Reese back .	2
8800	Moot point .	1
8801	Will grab your children by the imagination and amaze them and amuse them .	4
8802	Like so many other allegedly scary movies , it gets so tangled up in The Twist that it chokes the energy right out of the very audience it seeks to frighten .	1
8803	This time Kaufman 's imagination has failed him .	1
8804	The film often achieves a mesmerizing poetry .	4
8805	Tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure .	3
8806	It 's a terrific American sports movie and Dennis Quaid is its athletic heart .	3
8807	It 's amazingly perceptive in its subtle , supportive but unsentimental look at the Marks family .	3
8808	if you are an actor who can relate to the search for inner peace by dramatically depicting the lives of others onstage , then Esther 's story is a compelling quest for truth .	2
8809	A clutchy , indulgent and pretentious travelogue and diatribe against ... well , just stuff .	1
8810	While the Resident Evil games may have set new standards for thrills , suspense , and gore for video games , the movie really only succeeds in the third of these .	1
8811	To say this was done better in Wilder 's Some Like It Hot is like saying the sun rises in the east .	3
8812	The Wild Thornberrys Movie is a jolly surprise .	3
8813	... perhaps the heaviest , most joyless movie ever made about giant dragons taking over the world .	1
8814	A great ensemble cast ca n't lift this heartfelt enterprise out of the familiar .	1
8815	Even the unwatchable Soapdish is more original .	0
8816	The fight scenes are fun , but it grows tedious .	1
8817	Too leisurely paced and visually drab for its own good , it succeeds in being only sporadically amusing .	1
8818	It is interesting and fun to see Goodall and her chimpanzees on the bigger-than-life screen .	3
8819	Harris commands the screen , using his frailty to suggest the ravages of a life of corruption and ruthlessness .	4
8820	It 's also , clearly , great fun .	3
8821	The warm presence of Zhao Benshan makes the preposterous lying hero into something more than he reasonably should be .	2
8822	This formulaic chiller will do little to boost Stallone 's career .	1
8823	-LRB- Villeneuve -RRB- seems to realize intuitively that even morality is reduced to an option by the ultimate mysteries of life and death .	2
8824	But that 's just the problem with it - the director has n't added enough of his own ingredients .	1
8825	No movement , no yuks , not much of anything .	0
8826	Having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , Khouri then gets terrific performances from them all .	3
8827	The way Coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .	4
8828	Looks and feels like a project better suited for the small screen .	1
8829	... a magnificent drama well worth tracking down .	4
8830	Schindler 's List it ai n't .	0
8831	The volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-Hollywood that it seems positively French in its rhythms and resonance .	3
8832	It 's this memory-as-identity obviation that gives Secret Life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self .	4
8833	Edited and shot with a syncopated style mimicking the work of his subjects , Pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any MTV puffery .	4
8834	The picture , scored by a perversely cheerful Marcus Miller accordion\/harmonica\/banjo abomination , is a monument to bad in all its florid variety .	0
8835	In its best moments , resembles a bad high school production of Grease , without benefit of song .	0
8836	Involving at times , but lapses quite casually into the absurd .	1
8837	... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock .	0
8838	A delirious celebration of the female orgasm .	1
8839	Yes , you are , Ben Kingsley .	2
8840	This is one of Polanski 's best films .	4
8841	The film will play equally well on both the standard and giant screens .	2
8842	Far more imaginative and ambitious than the trivial , cash-in features Nickelodeon has made from its other animated TV series .	3
8843	The movie is for fans who ca n't stop loving anime , and the fanatical excess built into it .	1
8844	A fast , funny , highly enjoyable movie .	4
